code	year	deaths	new	living
3	2013	2.28176859481	5.27093668952	3.06361475535	
3	2014	2.51669580876	5.90280098573	3.3676694623600003	
3	2015	2.6445733197	6.68969152677	3.79074364933	
3	2016	2.74853242491	7.84422144522	4.70187665248	
4	1990	646.161251936	1874.16779985	1304.89368267	
4	1991	775.172762427	2016.55461189	1370.26743525	
4	1992	886.822381421	2240.68065813	1491.94345887	
4	1993	1018.36714889	2516.42234651	1636.64534527	
4	1994	1142.45428418	2855.16194596	1810.20047672	
4	1995	1183.98224824	3289.99747477	2073.1449421	
4	1996	1294.44078676	3273.23309901	2168.4371913600003	
4	1997	1515.11001382	3303.04599769	2309.09518277	
4	1998	1620.90582815	3350.44939723	2471.56396378	
4	1999	1774.685759	3417.74004605	2659.5422949100002	
